lat,long,max_temp,humidity,clouds,wind,country,date
55.2834,-114.769,28.115,66,90,5.66,CA,1620447980
47.7658,142.0683,28.079,83,100,3.77,RU,1620448162
71.2906,-156.7887,26.514999999999997,86,90,6.69,US,1620448162
-34.5322,20.0403,28.714999999999996,94,53,3.6,ZA,1620448163
35.5392,106.6861,29.988,14,0,5.92,CN,1620448163
41.2835,-70.0995,28.214999999999996,61,1,4.12,US,1620448164
45.5234,-122.6762,28.415,54,40,5.14,US,1620447613
59.7035,30.7861,27.814999999999998,93,90,2.0,RU,1620448164
-45.4167,167.7167,28.645999999999997,85,100,1.8,NZ,1620448164
25.3573,55.4033,30.415,54,0,1.03,AE,1620448165
-21.3585,55.7679,29.593,78,90,3.09,RE,1620448165
22.0752,-159.319,29.814999999999998,78,75,6.69,US,1620448166
78.2186,15.6401,26.714999999999996,73,75,5.66,SJ,1620448166
57.79,-152.4072,27.714999999999996,93,90,9.26,US,1620448166
-9.8,-139.0333,30.017000000000003,76,2,7.79,PF,1620448166
-2.95,25.95,29.264,99,81,1.05,CD,1620448167
10.5222,7.4383,29.606,78,97,3.28,NG,1620448167
-11.3847,43.2844,29.915,78,75,5.14,KM,1620448167
-34.1687,-58.9591,28.314999999999998,93,100,1.03,AR,1620448168
34.6391,-120.4579,28.415,82,11,4.63,US,1620448168
-33.0117,17.9442,28.415,93,0,3.62,ZA,1620448168
18.3851,42.4509,29.314999999999998,37,75,0.66,SA,1620448169
4.9333,-52.3333,29.758999999999997,94,75,1.54,GF,1620448169
69.7008,170.3133,26.887,79,99,0.48,RU,1620448169
-24.7911,-50.0119,28.302,92,61,3.67,BR,1620448169
39.2167,-2.15,28.714999999999996,62,0,3.09,ES,1620448170
37.3917,46.2398,28.615,82,40,3.09,IR,1620448170
71.9667,102.5,27.357999999999997,99,100,3.6,RU,1620448170
-22.9661,-42.0278,29.477999999999998,82,94,6.58,BR,1620448041
32.834,-109.7076,30.014999999999997,10,1,4.63,US,1620448171
-20.3167,118.5667,30.514999999999997,35,0,5.14,AU,1620448171
-22.6667,167.4833,29.762,82,100,8.95,NC,1620448171
-3.6667,152.4333,30.25,72,88,5.67,PG,1620448172
51.3813,1.3862,28.204,60,100,0.89,GB,1620448172
47.674,-122.1215,28.258999999999997,82,32,1.66,US,1620447978
71.0357,27.8492,27.469,96,100,10.03,NO,1620448172
-46.6,168.3333,28.648000000000003,87,100,2.24,NZ,1620448173
55.7435,-97.8558,27.314999999999998,64,1,2.06,CA,1620448173
21.4612,-71.1419,29.927999999999997,72,3,7.27,TC,1620448173
25.2934,32.554,30.014999999999997,29,0,1.03,EG,1620448174
-12.0951,26.4273,28.248,77,4,1.72,ZM,1620448174
40.5982,-124.1573,28.314999999999998,87,1,6.17,US,1620448174
-15.8631,-38.8828,29.714999999999996,88,20,1.03,BR,1620448175
44.7631,-85.6206,27.714999999999996,70,1,4.63,US,1620448043
-14.4086,-56.4461,28.811,90,18,1.33,BR,1620448175
7.7102,81.6924,30.247000000000003,70,99,2.1,LK,1620448175
-35.1667,173.1667,29.204,77,99,5.01,NZ,1620448176
25.2919,60.643,30.204,71,32,1.89,IR,1620448176
